Pathology,Model A,Model B,Pair,AUC diff,p_raw,p_corrected,significant
Atelectasis,Random,Median,Random vs Median,0.34014373276128346,0.0,0.0,True
Fibrosis,Random,Median,Random vs Median,0.2537478766103939,0.0,0.0,True
Fibrosis,Median,Dynamic,Median vs Dynamic,-0.24951406322815362,0.0,0.0,True
Pneumothorax,Median,Dynamic,Median vs Dynamic,-0.32695310833297786,0.0,0.0,True
Hernia,Median,Dynamic,Median vs Dynamic,-0.4092608409002369,0.0,0.0,True
Infiltration,Random,Median,Random vs Median,0.14429790714903057,0.0,0.0,True
Infiltration,Median,Weighted,Median vs Weighted,-0.11937402363147354,0.0,0.0,True
Infiltration,Median,Dynamic,Median vs Dynamic,-0.1314312623136511,0.0,0.0,True
Mass,Random,Median,Random vs Median,0.2947113480780228,0.0,0.0,True
Mass,Median,Weighted,Median vs Weighted,-0.23791712254884134,0.0,0.0,True
Emphysema,Median,Dynamic,Median vs Dynamic,-0.3904695187057493,0.0,0.0,True
Mass,Median,Dynamic,Median vs Dynamic,-0.27112079252430354,0.0,0.0,True
Nodule,Median,Weighted,Median vs Weighted,-0.13356753979489866,0.0,0.0,True
Nodule,Median,Dynamic,Median vs Dynamic,-0.21279654709360418,0.0,0.0,True
Pleural_Thickening,Random,Median,Random vs Median,0.3326746479307262,0.0,0.0,True
Pleural_Thickening,Median,Weighted,Median vs Weighted,-0.24438401534061138,0.0,0.0,True
Pleural_Thickening,Median,Dynamic,Median vs Dynamic,-0.3207322718728376,0.0,0.0,True
Pneumonia,Random,Median,Random vs Median,0.22963373956832667,0.0,0.0,True
Pneumonia,Median,Dynamic,Median vs Dynamic,-0.20867783812898277,0.0,0.0,True
Pneumothorax,Random,Median,Random vs Median,0.337355186820562,0.0,0.0,True
Pneumothorax,Median,Weighted,Median vs Weighted,-0.2993843645241008,0.0,0.0,True
Nodule,Random,Median,Random vs Median,0.22202923125654328,0.0,0.0,True
Emphysema,Median,Weighted,Median vs Weighted,-0.3678837585483682,0.0,0.0,True
Hernia,Random,Median,Random vs Median,0.4321029623303065,0.0,0.0,True
Consolidation,Median,Weighted,Median vs Weighted,-0.23883800089992746,0.0,0.0,True
Atelectasis,Median,Dynamic,Median vs Dynamic,-0.33496144517027643,0.0,0.0,True
Cardiomegaly,Random,Median,Random vs Median,0.40891582326597475,0.0,0.0,True
Cardiomegaly,Median,Weighted,Median vs Weighted,-0.35551716781001286,0.0,0.0,True
Cardiomegaly,Median,Dynamic,Median vs Dynamic,-0.39381000775767383,0.0,0.0,True
Consolidation,Random,Median,Random vs Median,0.29161776212109725,0.0,0.0,True
Emphysema,Random,Median,Random vs Median,0.3765402725284098,0.0,0.0,True
Consolidation,Median,Dynamic,Median vs Dynamic,-0.2844504163703818,0.0,0.0,True
Edema,Random,Median,Random vs Median,0.31255788998079737,0.0,0.0,True
Edema,Median,Weighted,Median vs Weighted,-0.293990233334947,0.0,0.0,True
Atelectasis,Median,Weighted,Median vs Weighted,-0.2835100406631444,0.0,0.0,True
Effusion,Median,Dynamic,Median vs Dynamic,-0.39694816196332666,0.0,0.0,True
Effusion,Random,Median,Random vs Median,0.4044991181237489,0.0,0.0,True
Effusion,Median,Weighted,Median vs Weighted,-0.38288100430609856,0.0,0.0,True
Edema,Median,Dynamic,Median vs Dynamic,-0.3040856812057252,0.0,0.0,True
Atelectasis,Random,Weighted,Random vs Weighted,0.056633692098139066,6.661338147750939e-16,1.3988810110276974e-15,True
Nodule,Random,Weighted,Random vs Weighted,0.08846169146164462,3.3306690738754696e-15,6.8238098098912066e-15,True
Fibrosis,Median,Weighted,Median vs Weighted,-0.16187350611085238,5.10702591327572e-15,1.021405182655144e-14,True
Atelectasis,Weighted,Dynamic,Weighted vs Dynamic,-0.05145140450713204,2.3514523661560816e-13,4.593534854816532e-13,True
Nodule,Weighted,Dynamic,Weighted vs Dynamic,-0.07922900729870552,2.4082957850168896e-12,4.597655589577698e-12,True
Hernia,Median,Weighted,Median vs Weighted,-0.35255308070364705,4.108713369532779e-12,7.669598289794522e-12,True
Pleural_Thickening,Random,Weighted,Random vs Weighted,0.08829063259011483,1.8846768590208285e-10,3.441583829516295e-10,True
Cardiomegaly,Random,Weighted,Random vs Weighted,0.053398655455961896,1.0017731089106974e-09,1.7904030031595442e-09,True
Pneumonia,Median,Weighted,Median vs Weighted,-0.1410482290490468,1.051154052689185e-08,1.8395195922060736e-08,True
Mass,Random,Weighted,Random vs Weighted,0.05679422552918145,1.1076797257203452e-08,1.898879529806306e-08,True
Pleural_Thickening,Weighted,Dynamic,Weighted vs Dynamic,-0.07634825653222621,3.1155742208355264e-08,5.2341646910036845e-08,True
Consolidation,Random,Weighted,Random vs Weighted,0.052779761221169785,3.656811959906747e-07,5.986980166499806e-07,True
Fibrosis,Random,Weighted,Random vs Weighted,0.0918743704995415,3.706225817357023e-07,5.986980166499806e-07,True
Fibrosis,Weighted,Dynamic,Weighted vs Dynamic,-0.08764055711730123,1.3480080942596118e-06,2.1364656588265546e-06,True
Consolidation,Weighted,Dynamic,Weighted vs Dynamic,-0.04561241547045436,1.1377307323812147e-05,1.7698033614818894e-05,True
Effusion,Random,Weighted,Random vs Weighted,0.02161811381765033,2.3617802716202618e-05,3.6070825966563996e-05,True
Cardiomegaly,Weighted,Dynamic,Weighted vs Dynamic,-0.03829283994766097,2.4971980223664758e-05,3.745797033549714e-05,True
Pneumothorax,Random,Weighted,Random vs Weighted,0.037970822296461204,3.5483451618523176e-05,5.2291402385192045e-05,True
Pneumonia,Random,Weighted,Random vs Weighted,0.08858551051927988,5.0981053850485125e-05,7.38346297144957e-05,True
Infiltration,Random,Weighted,Random vs Weighted,0.024923883517557033,0.00013230086912385808,0.00018836055943057762,True
Mass,Weighted,Dynamic,Weighted vs Dynamic,-0.0332036699754622,0.0011789377390343247,0.0016505128346480547,True
Pneumonia,Weighted,Dynamic,Weighted vs Dynamic,-0.06762960907993598,0.0022258609264700357,0.0030651199643193937,True
Pneumothorax,Weighted,Dynamic,Weighted vs Dynamic,-0.027568743808877083,0.0031942192744232045,0.004327651920186277,True
Effusion,Weighted,Dynamic,Weighted vs Dynamic,-0.014067157657228102,0.00601598209481824,0.008021309459757653,True
Mass,Random,Dynamic,Random vs Dynamic,0.02359055555371925,0.011183540191682884,0.014678396501583785,True
Emphysema,Weighted,Dynamic,Weighted vs Dynamic,-0.02258576015738112,0.02541443517448716,0.03284327007164494,True
